zip5,lat,lon,state,temp_1_f,temp_2_f,temp_3_f,temp_4_f,temp_5_f,temp_6_f,temp_7_f,temp_1_c,temp_2_c,temp_3_c,temp_4_c,temp_5_c,temp_6_c,temp_7_c,warnings
00520,45.10095,-66.69083,NY,82,77,82,60,76,74,72,27.8,25,27.8,15.6,24.4,23.3,22.2,
00521,42.30944,-71.3208,NY,75,70,60,70,69,77,79,23.9,21.1,15.6,21.1,20.6,25,26.1,
00522,42.95597,-73.41367,NY,75,56,69,69,74,74,64,23.9,13.3,20.6,20.6,23.3,23.3,17.8,
00523,42.93828,-67.77009,NY,74,65,74,70,60,90,69,23.3,18.3,23.3,21.1,15.6,32.2,20.6,
00524,41.94531,-73.29474,NY,74,71,79,79,71,75,75,23.3,21.7,26.1,26.1,21.7,23.9,23.9,
00525,42.81758,-66.8308,NY,77,67,72,75,82,86,82,25,19.4,22.2,23.9,27.8,30,27.8,
00526,43.02859,-69.99194,NY,84,80,68,55,65,65,78,28.9,26.7,20,12.8,18.3,18.3,25.6,
00527,44.194,-66.06566,NY,76,90,81,66,69,71,72,24.4,32.2,27.2,18.9,20.6,21.7,22.2,
00528,44.60148,-69.64664,NY,76,74,79,60,81,84,70,24.4,23.3,26.1,15.6,27.2,28.9,21.1,
00529,41.76881,-69.70896,NY,56,66,71,82,69,70,85,13.3,18.9,21.7,27.8,20.6,21.1,29.4,severe_thunderstorm_warning
00530,44.75825,-73.64696,NY,64,60,72,86,69,78,67,17.8,15.6,22.2,30,20.6,25.6,19.4,
00531,43.2817,-73.83193,NY,70,68,78,77,82,82,79,21.1,20,25.6,25,27.8,27.8,26.1,severe_thunderstorm_warning
00532,44.42483,-66.36262,NY,66,74,84,86,67,85,73,18.9,23.3,28.9,30,19.4,29.4,22.8,
00533,43.10179,-73.13103,NY,74,71,70,69,75,78,76,23.3,21.7,21.1,20.6,23.9,25.6,24.4,
00534,43.5516,-68.34358,NY,81,74,73,76,81,72,75,27.2,23.3,22.8,24.4,27.2,22.2,23.9,
00535,43.166,-73.93151,NY,70,77,77,66,76,82,70,21.1,25,25,18.9,24.4,27.8,21.1,
00536,42.88729,-69.62734,NY,70,75,73,71,78,79,73,21.1,23.9,22.8,21.7,25.6,26.1,22.8,
00537,43.02104,-66.11721,NY,78,62,71,79,73,71,69,25.6,16.7,21.7,26.1,22.8,21.7,20.6,
00538,45.77883,-73.73575,NY,80,60,72,71,75,70,67,26.7,15.6,22.2,21.7,23.9,21.1,19.4,
00539,42.67415,-71.21306,NY,70,77,71,74,89,69,77,21.1,25,21.7,23.3,31.7,20.6,25,
00540,44.18042,-72.68913,NY,68,71,72,75,81,79,71,20,21.7,22.2,23.9,27.2,26.1,21.7,
00541,41.32123,-67.04223,NY,80,87,60,65,63,75,74,26.7,30.6,15.6,18.3,17.2,23.9,23.3,
00542,42.86055,-72.12029,NY,67,60,83,69,67,73,62,19.4,15.6,28.3,20.6,19.4,22.8,16.7,
00543,45.12378,-68.97982,NY,60,65,74,94,70,80,64,15.6,18.3,23.3,34.4,21.1,26.7,17.8,
00544,40.922326,-72.637078,NY,76,63,73,71,74,65,75,24.4,17.2,22.8,21.7,23.3,18.3,23.9,
00545,42.93604,-71.55069,NY,76,87,66,72,73,69,86,24.4,30.6,18.9,22.2,22.8,20.6,30,
00546,44.86226,-71.67044,NY,73,84,73,83,59,83,66,22.8,28.9,22.8,28.3,15,28.3,18.9,
00547,42.84244,-69.72064,NY,67,58,76,69,72,81,68,19.4,14.4,24.4,20.6,22.2,27.2,20,
00548,43.58552,-68.96306,NY,75,82,64,89,83,66,78,23.9,27.8,17.8,31.7,28.3,18.9,25.6,
00549,42.93123,-73.50355,NY,76,74,82,74,71,74,72,24.4,23.3,27.8,23.3,21.7,23.3,22.2,
00550,43.2737,-73.8351,NY,82,68,72,75,71,79,68,27.8,20,22.2,23.9,21.7,26.1,20,
00551,45.35539,-68.07868,NY,67,73,77,72,66,81,74,19.4,22.8,25,22.2,18.9,27.2,23.3,
00552,44.34417,-71.56955,NY,68,82,74,68,72,76,66,20,27.8,23.3,20,22.2,24.4,18.9,
00553,41.79289,-71.40115,NY,69,70,75,83,68,72,69,20.6,21.1,23.9,28.3,20,22.2,20.6,
00554,43.5736,-72.90103,NY,70,77,80,78,68,59,70,21.1,25,26.7,25.6,20,15,21.1,
00555,41.52389,-68.18939,NY,73,76,68,74,75,75,65,22.8,24.4,20,23.3,23.9,23.9,18.3,
00556,45.46717,-71.27935,NY,75,64,72,93,73,76,77,23.9,17.8,22.2,33.9,22.8,24.4,25,
00557,45.64908,-72.05409,NY,80,84,77,79,72,74,71,26.7,28.9,25,26.1,22.2,23.3,21.7,severe_thunderstorm_warning
00558,42.32274,-73.6558,NY,75,61,72,88,73,75,67,23.9,16.1,22.2,31.1,22.8,23.9,19.4,
00559,41.40181,-72.42324,NY,73,60,70,72,74,74,73,22.8,15.6,21.1,22.2,23.3,23.3,22.8,
00560,44.79058,-66.87147,NY,74,59,63,77,68,74,59,23.3,15,17.2,25,20,23.3,15,
00561,41.97082,-69.483,NY,73,79,74,77,86,72,83,22.8,26.1,23.3,25,30,22.2,28.3,
00562,44.00051,-73.33007,NY,70,73,76,73,70,79,73,21.1,22.8,24.4,22.8,21.1,26.1,22.8,
00563,43.68841,-66.56501,NY,75,72,58,66,89,77,65,23.9,22.2,14.4,18.9,31.7,25,18.3,
00564,41.67723,-66.78486,NY,70,91,80,80,77,73,79,21.1,32.8,26.7,26.7,25,22.8,26.1,
00565,44.6528,-67.78436,NY,63,70,68,74,76,70,78,17.2,21.1,20,23.3,24.4,21.1,25.6,
00566,44.56882,-67.37419,NY,64,70,68,75,69,63,68,17.8,21.1,20,23.9,20.6,17.2,20,
00567,42.70261,-66.68401,NY,83,75,70,70,72,75,66,28.3,23.9,21.1,21.1,22.2,23.9,18.9,
00568,45.62479,-69.12199,NY,69,77,66,79,81,61,68,20.6,25,18.9,26.1,27.2,16.1,20,
00569,45.49134,-67.67579,NY,73,89,69,75,74,61,70,22.8,31.7,20.6,23.9,23.3,16.1,21.1,
00570,45.85176,-71.25284,NY,70,55,68,71,65,77,68,21.1,12.8,20,21.7,18.3,25,20,
00571,41.61158,-73.58052,NY,76,64,74,71,65,75,61,24.4,17.8,23.3,21.7,18.3,23.9,16.1,
00572,42.80921,-68.64842,NY,64,72,77,74,70,80,76,17.8,22.2,25,23.3,21.1,26.7,24.4,
00573,42.57753,-72.26725,NY,80,74,75,73,73,80,77,26.7,23.3,23.9,22.8,22.8,26.7,25,
00574,42.71517,-67.97029,NY,86,83,75,72,67,70,57,30,28.3,23.9,22.2,19.4,21.1,13.9,
00575,42.91187,-67.55129,NY,70,71,77,79,83,79,80,21.1,21.7,25,26.1,28.3,26.1,26.7,
00576,42.87668,-71.87617,NY,67,75,83,67,73,79,69,19.4,23.9,28.3,19.4,22.8,26.1,20.6,
00577,45.28166,-70.98877,NY,73,64,85,72,71,68,67,22.8,17.8,29.4,22.2,21.7,20,19.4,
00578,45.60841,-73.02139,NY,67,74,80,78,61,81,68,19.4,23.3,26.7,25.6,16.1,27.2,20,
00579,43.51415,-69.15639,NY,74,60,68,78,76,75,71,23.3,15.6,20,25.6,24.4,23.9,21.7,
00580,45.72111,-73.58717,NY,57,84,90,64,78,62,70,13.9,28.9,32.2,17.8,25.6,16.7,21.1,
00581,42.49257,-70.27562,NY,91,69,70,84,75,71,59,32.8,20.6,21.1,28.9,23.9,21.7,15,
00582,42.62348,-68.82531,NY,70,79,76,82,76,71,66,21.1,26.1,24.4,27.8,24.4,21.7,18.9,
00583,45.20425,-69.49787,NY,75,77,78,73,73,85,73,23.9,25,25.6,22.8,22.8,29.4,22.8,severe_thunderstorm_warning
00584,42.24207,-68.47625,NY,66,78,69,65,71,69,72,18.9,25.6,20.6,18.3,21.7,20.6,22.2,
00585,43.87479,-66.61579,NY,76,78,72,79,69,72,74,24.4,25.6,22.2,26.1,20.6,22.2,23.3,
00586,45.77427,-72.54235,NY,75,68,71,72,63,92,67,23.9,20,21.7,22.2,17.2,33.3,19.4,
00587,43.1406,-70.02833,NY,71,73,70,81,71,74,72,21.7,22.8,21.1,27.2,21.7,23.3,22.2,
00588,43.38661,-73.65792,NY,59,85,66,90,58,73,75,15,29.4,18.9,32.2,14.4,22.8,23.9,
00589,41.70776,-67.03626,NY,74,66,72,86,84,65,70,23.3,18.9,22.2,30,28.9,18.3,21.1,
00590,43.98845,-73.74277,NY,72,66,75,76,84,77,71,22.2,18.9,23.9,24.4,28.9,25,21.7,severe_thunderstorm_warning
00591,45.49791,-66.89981,NY,77,72,76,62,73,55,69,25,22.2,24.4,16.7,22.8,12.8,20.6,
00592,44.52874,-66.79268,NY,66,62,81,59,83,70,76,18.9,16.7,27.2,15,28.3,21.1,24.4,
00593,42.60312,-70.90799,NY,65,73,66,82,69,70,75,18.3,22.8,18.9,27.8,20.6,21.1,23.9,
00594,45.43863,-67.0273,NY,75,70,83,93,73,72,73,23.9,21.1,28.3,33.9,22.8,22.2,22.8,
00595,41.8401,-70.67155,NY,70,75,71,81,73,83,75,21.1,23.9,21.7,27.2,22.8,28.3,23.9,
00596,41.21703,-73.89624,NY,81,81,78,74,65,72,77,27.2,27.2,25.6,23.3,18.3,22.2,25,
00597,41.82385,-73.62703,NY,61,73,81,73,71,61,71,16.1,22.8,27.2,22.8,21.7,16.1,21.7,
00598,41.82964,-68.10702,NY,83,74,65,70,69,76,70,28.3,23.3,18.3,21.1,20.6,24.4,21.1,
00599,45.19819,-71.57798,NY,81,81,74,74,70,65,65,27.2,27.2,23.3,23.3,21.1,18.3,18.3,
01000,42.12068,-69.77752,MA,79,77,66,69,61,72,74,26.1,25,18.9,20.6,16.1,22.2,23.3,
01001,42.07061,-72.62029,MA,76,82,75,75,68,75,72,24.4,27.8,23.9,23.9,20,23.9,22.2,severe_thunderstorm_warning
01002,42.377651,-72.50323,MA,75,70,83,71,80,76,73,23.9,21.1,28.3,21.7,26.7,24.4,22.8,
01003,42.369562,-72.63599,MA,75,72,76,70,69,85,65,23.9,22.2,24.4,21.1,20.6,29.4,18.3,
01004,42.384494,-72.513183,MA,70,69,85,77,73,82,65,21.1,20.6,29.4,25,22.8,27.8,18.3,
01005,42.412094,-72.10443,MA,69,63,64,71,68,85,79,20.6,17.2,17.8,21.7,20,29.4,26.1,
01006,43.21356,-69.64031,MA,84,72,83,78,74,67,75,28.9,22.2,28.3,25.6,23.3,19.4,23.9,
01007,42.278424,-72.411,MA,66,69,91,86,83,48,80,18.9,20.6,32.8,30,28.3,8.9,26.7,
01008,42.174313,-72.94828,MA,81,57,71,71,79,62,73,27.2,13.9,21.7,21.7,26.1,16.7,22.8,
01009,42.206092,-72.340486,MA,78,76,76,77,75,82,72,25.6,24.4,24.4,25,23.9,27.8,22.2,
01010,42.126038,-72.20552,MA,75,69,77,66,70,67,78,23.9,20.6,25,18.9,21.1,19.4,25.6,
01011,42.271442,-73.01958,MA,68,74,75,79,72,72,62,20,23.3,23.9,26.1,22.2,22.2,16.7,
01012,42.390836,-72.84356,MA,66,77,79,85,72,74,67,18.9,25,26.1,29.4,22.2,23.3,19.4,
01013,42.161492,-72.60316,MA,75,78,68,65,71,73,67,23.9,25.6,20,18.3,21.7,22.8,19.4,
01014,42.170731,-72.604842,MA,80,72,73,81,76,85,79,26.7,22.2,22.8,27.2,24.4,29.4,26.1,
01015,45.03687,-69.83435,MA,65,70,66,75,82,70,75,18.3,21.1,18.9,23.9,27.8,21.1,23.9,
01016,44.17744,-70.86094,MA,82,71,79,72,67,73,89,27.8,21.7,26.1,22.2,19.4,22.8,31.7,
01017,41.55474,-69.43994,MA,89,65,76,82,64,69,69,31.7,18.3,24.4,27.8,17.8,20.6,20.6,
01018,43.18006,-71.14827,MA,66,64,74,76,57,79,90,18.9,17.8,23.3,24.4,13.9,26.1,32.2,
01019,41.6728,-66.56312,MA,79,79,81,75,78,81,84,26.1,26.1,27.2,23.9,25.6,27.2,28.9,
01020,42.175992,-72.57265,MA,65,80,67,78,84,91,77,18.3,26.7,19.4,25.6,28.9,32.8,25,severe_thunderstorm_warning
01021,42.170731,-72.604842,MA,70,73,77,65,74,77,74,21.1,22.8,25,18.3,23.3,25,23.3,
01022,42.196666,-72.55606,MA,68,82,66,81,59,75,64,20,27.8,18.9,27.2,15,23.9,17.8,
01023,45.86199,-72.04417,MA,75,73,68,64,68,71,71,23.9,22.8,20,17.8,20,21.7,21.7,
01024,41.3672,-66.5829,MA,86,74,78,75,72,76,57,30,23.3,25.6,23.9,22.2,24.4,13.9,
01025,43.06112,-71.42465,MA,84,71,73,60,75,78,83,28.9,21.7,22.8,15.6,23.9,25.6,28.3,
01026,42.465041,-72.91813,MA,69,78,66,78,79,73,81,20.6,25.6,18.9,25.6,26.1,22.8,27.2,
01027,42.27279,-72.68677,MA,65,78,68,73,81,74,78,18.3,25.6,20,22.8,27.2,23.3,25.6,
01028,42.066795,-72.5102,MA,92,67,60,72,78,81,73,33.3,19.4,15.6,22.2,25.6,27.2,22.8,
01029,42.175896,-73.04204,MA,81,78,72,77,76,88,73,27.2,25.6,22.2,25,24.4,31.1,22.8,severe_thunderstorm_warning
01030,42.070774,-72.67248,MA,84,74,76,84,71,68,74,28.9,23.3,24.4,28.9,21.7,20,23.3,
01031,42.33071,-72.18833,MA,73,78,72,71,81,76,79,22.8,25.6,22.2,21.7,27.2,24.4,26.1,
01032,42.45792,-72.81551,MA,89,60,71,77,71,75,67,31.7,15.6,21.7,25,21.7,23.9,19.4,
01033,42.254563,-72.51831,MA,75,78,71,75,78,73,85,23.9,25.6,21.7,23.9,25.6,22.8,29.4,
01034,42.086224,-72.94464,MA,73,80,73,77,58,72,78,22.8,26.7,22.8,25,14.4,22.2,25.6,
01035,42.35549,-72.5733,MA,83,70,77,74,64,72,80,28.3,21.1,25,23.3,17.8,22.2,26.7,
01036,42.064703,-72.41735,MA,76,86,73,70,75,73,75,24.4,30,22.8,21.1,23.9,22.8,23.9,
01037,42.374202,-72.19524,MA,73,72,82,63,71,86,62,22.8,22.2,27.8,17.2,21.7,30,16.7,
01038,42.375155,-72.60832,MA,68,73,75,73,81,79,53,20,22.8,23.9,22.8,27.2,26.1,11.7,
01039,42.381475,-72.69259,MA,78,71,80,77,57,72,78,25.6,21.7,26.7,25,13.9,22.2,25.6,
01040,42.201891,-72.6242,MA,68,67,68,70,77,73,74,20,19.4,20,21.1,25,22.8,23.3,
01041,42.170731,-72.604842,MA,72,79,68,68,86,61,69,22.2,26.1,20,20,30,16.1,20.6,
01042,41.20921,-66.46827,MA,69,74,77,79,79,77,75,20.6,23.3,25,26.1,26.1,25,23.9,
01043,45.43379,-67.17683,MA,73,85,68,73,87,70,78,22.8,29.4,20,22.8,30.6,21.1,25.6,
01044,42.45692,-72.51258,MA,79,56,83,70,74,65,64,26.1,13.3,28.3,21.1,23.3,18.3,17.8,
01045,42.41274,-68.85576,MA,67,68,68,83,70,65,84,19.4,20,20,28.3,21.1,18.3,28.9,
01046,42.06006,-73.79227,MA,68,84,77,71,86,58,79,20,28.9,25,21.7,30,14.4,26.1,
01047,44.93038,-70.27284,MA,80,78,85,84,76,77,67,26.7,25.6,29.4,28.9,24.4,25,19.4,
01048,42.11025,-68.70063,MA,79,68,78,80,77,76,72,26.1,20,25.6,26.7,25,24.4,22.2,
01049,42.95337,-72.48833,MA,64,63,59,71,71,74,64,17.8,17.2,15,21.7,21.7,23.3,17.8,
01050,42.290209,-72.87942,MA,83,82,71,63,76,64,77,28.3,27.8,21.7,17.2,24.4,17.8,25,
01051,45.91835,-70.02453,MA,79,69,68,61,75,92,77,26.1,20.6,20,16.1,23.9,33.3,25,
01052,42.43393,-70.19484,MA,74,81,68,72,73,76,77,23.3,27.2,20,22.2,22.8,24.4,25,
01053,42.353105,-72.70206,MA,67,80,71,69,68,69,76,19.4,26.7,21.7,20.6,20,20.6,24.4,
01054,42.479839,-72.49879,MA,67,81,71,87,71,69,76,19.4,27.2,21.7,30.6,21.7,20.6,24.4,
01055,45.56314,-72.99217,MA,63,79,72,73,63,66,77,17.2,26.1,22.2,22.8,17.2,18.9,25,
01056,42.174893,-72.47068,MA,71,79,55,79,67,88,81,21.7,26.1,12.8,26.1,19.4,31.1,27.2,
01057,42.089269,-72.317,MA,63,68,74,75,72,75,67,17.2,20,23.3,23.9,22.2,23.9,19.4,tornado_warning
01058,45.63236,-71.17693,MA,53,68,85,80,72,58,65,11.7,20,29.4,26.7,22.2,14.4,18.3,
01059,42.369562,-72.63599,MA,72,75,81,71,66,66,76,22.2,23.9,27.2,21.7,18.9,18.9,24.4,
01060,42.324539,-72.63561,MA,76,58,83,71,72,76,61,24.4,14.4,28.3,21.7,22.2,24.4,16.1,
01061,42.369562,-72.63599,MA,66,74,78,70,79,75,70,18.9,23.3,25.6,21.1,26.1,23.9,21.1,
01062,42.324232,-72.67915,MA,74,73,73,74,71,68,68,23.3,22.8,22.8,23.3,21.7,20,20,
01063,42.317939,-72.640234,MA,75,69,67,74,86,72,67,23.9,20.6,19.4,23.3,30,22.2,19.4,
01064,41.08711,-69.83302,MA,88,83,65,63,80,73,61,31.1,28.3,18.3,17.2,26.7,22.8,16.1,
01065,42.81396,-70.87531,MA,72,63,76,68,83,74,55,22.2,17.2,24.4,20,28.3,23.3,12.8,
01066,42.406697,-72.633901,MA,84,66,82,80,74,76,71,28.9,18.9,27.8,26.7,23.3,24.4,21.7,
01067,41.52863,-67.3624,MA,78,76,66,66,70,75,85,25.6,24.4,18.9,18.9,21.1,23.9,29.4,
01068,42.349769,-72.04413,MA,78,84,83,68,76,59,84,25.6,28.9,28.3,20,24.4,15,28.9,
01069,42.176401,-72.32646,MA,72,64,71,66,87,70,64,22.2,17.8,21.7,18.9,30.6,21.1,17.8,
01070,42.515853,-72.91661,MA,80,76,78,69,75,66,75,26.7,24.4,25.6,20.6,23.9,18.9,23.9,
01071,42.165931,-72.85153,MA,70,76,79,58,77,82,75,21.1,24.4,26.1,14.4,25,27.8,23.9,
01072,42.486027,-72.42208,MA,68,83,87,69,67,73,65,20,28.3,30.6,20.6,19.4,22.8,18.3,
01073,42.223885,-72.72777,MA,64,75,77,80,76,77,66,17.8,23.9,25,26.7,24.4,25,18.9,
01074,42.375998,-72.149388,MA,81,69,73,65,71,67,75,27.2,20.6,22.8,18.3,21.7,19.4,23.9,
01075,42.234891,-72.58243,MA,72,65,66,62,72,77,72,22.2,18.3,18.9,16.7,22.2,25,22.2,
01076,43.96412,-71.40109,MA,71,64,69,72,79,77,59,21.7,17.8,20.6,22.2,26.1,25,15,
01077,42.05283,-72.76966,MA,82,75,73,69,75,65,68,27.8,23.9,22.8,20.6,23.9,18.3,20,
01078,44.90255,-72.35239,MA,76,70,76,82,78,81,77,24.4,21.1,24.4,27.8,25.6,27.2,25,
01079,42.192892,-72.329574,MA,77,70,74,80,80,68,81,25,21.1,23.3,26.7,26.7,20,27.2,
01080,42.180563,-72.36518,MA,68,78,77,71,70,84,75,20,25.6,25,21.7,21.1,28.9,23.9,
01081,42.058024,-72.22517,MA,67,65,75,86,65,68,83,19.4,18.3,23.9,30,18.3,20,28.3,
01082,42.270611,-72.26067,MA,90,71,77,83,63,88,65,32.2,21.7,25,28.3,17.2,31.1,18.3,
01083,42.20468,-72.20259,MA,71,78,79,64,76,81,77,21.7,25.6,26.1,17.8,24.4,27.2,25,
01084,42.379807,-72.89043,MA,67,80,73,77,72,71,69,19.4,26.7,22.8,25,22.2,21.7,20.6,
01085,42.133642,-72.75029,MA,72,85,76,64,75,74,67,22.2,29.4,24.4,17.8,23.9,23.3,19.4,
01086,42.173428,-72.847964,MA,68,72,70,71,83,74,72,20,22.2,21.1,21.7,28.3,23.3,22.2,
01087,41.89898,-72.99082,MA,78,88,87,73,78,68,68,25.6,31.1,30.6,22.8,25.6,20,20,
01088,42.388831,-72.6321,MA,65,74,66,78,71,76,70,18.3,23.3,18.9,25.6,21.7,24.4,21.1,
01089,42.112793,-72.64066,MA,65,78,63,66,63,76,76,18.3,25.6,17.2,18.9,17.2,24.4,24.4,
01090,42.170731,-72.604842,MA,67,66,81,71,84,65,63,19.4,18.9,27.2,21.7,28.9,18.3,17.2,
01091,41.70286,-67.09781,MA,75,71,89,76,77,64,60,23.9,21.7,31.7,24.4,25,17.8,15.6,
01092,42.210777,-72.23904,MA,88,73,97,78,76,75,85,31.1,22.8,36.1,25.6,24.4,23.9,29.4,
01093,42.442673,-72.652511,MA,70,91,73,84,80,75,74,21.1,32.8,22.8,28.9,26.7,23.9,23.3,
01094,42.358201,-72.140846,MA,73,77,78,60,73,80,71,22.8,25,25.6,15.6,22.8,26.7,21.7,
01095,42.12531,-72.44057,MA,69,73,63,65,66,72,72,20.6,22.8,17.2,18.3,18.9,22.2,22.2,
01096,42.415236,-72.78271,MA,65,68,83,72,69,70,67,18.3,20,28.3,22.2,20.6,21.1,19.4,
01097,42.161743,-72.845912,MA,69,68,84,82,73,62,79,20.6,20,28.9,27.8,22.8,16.7,26.1,
01098,42.399054,-72.93871,MA,73,77,76,84,87,64,74,22.8,25,24.4,28.9,30.6,17.8,23.3,
01099,44.94417,-73.30955,MA,78,79,67,63,81,72,92,25.6,26.1,19.4,17.2,27.2,22.2,33.3,
01100,41.49106,-72.24742,MA,77,79,80,77,85,72,80,25,26.1,26.7,25,29.4,22.2,26.7,
01101,42.170731,-72.604842,MA,73,60,69,78,66,75,75,22.8,15.6,20.6,25.6,18.9,23.9,23.9,
01102,42.170731,-72.604842,MA,74,76,69,70,86,66,55,23.3,24.4,20.6,21.1,30,18.9,12.8,
01103,42.103294,-72.59112,MA,76,75,88,60,69,82,79,24.4,23.9,31.1,15.6,20.6,27.8,26.1,
01104,42.130343,-72.57338,MA,69,98,77,66,75,81,66,20.6,36.7,25,18.9,23.9,27.2,18.9,
01105,42.096644,-72.5798,MA,71,61,83,77,87,57,63,21.7,16.1,28.3,25,30.6,13.9,17.2,
01106,42.050395,-72.5712,MA,70,74,82,80,75,71,75,21.1,23.3,27.8,26.7,23.9,21.7,23.9,
01107,42.120193,-72.6061,MA,78,81,87,70,73,74,76,25.6,27.2,30.6,21.1,22.8,23.3,24.4,
01108,42.084094,-72.55523,MA,75,80,81,76,69,79,73,23.9,26.7,27.2,24.4,20.6,26.1,22.8,
01109,42.116277,-72.55031,MA,75,78,80,72,75,57,76,23.9,25.6,26.7,22.2,23.9,13.9,24.4,
01110,45.6848,-68.70955,MA,73,69,65,72,73,69,68,22.8,20.6,18.3,22.2,22.8,20.6,20,
01111,42.170731,-72.604842,MA,69,77,78,70,89,83,80,20.6,25,25.6,21.1,31.7,28.3,26.7,
01112,41.28185,-73.08491,MA,71,66,82,86,58,68,78,21.7,18.9,27.8,30,14.4,20,25.6,
01113,41.45144,-68.6532,MA,83,86,65,77,78,65,80,28.3,30,18.3,25,25.6,18.3,26.7,
01114,42.170731,-72.604842,MA,76,68,85,72,74,77,87,24.4,20,29.4,22.2,23.3,25,30.6,
01115,42.102894,-72.591633,MA,71,71,72,84,61,77,63,21.7,21.7,22.2,28.9,16.1,25,17.2,tornado_warning
01116,42.170731,-72.604842,MA,70,80,63,74,78,69,79,21.1,26.7,17.2,23.3,25.6,20.6,26.1,
01117,43.19737,-67.50385,MA,86,71,69,85,84,76,80,30,21.7,20.6,29.4,28.9,24.4,26.7,
01118,42.093144,-72.5291,MA,74,77,81,80,79,73,77,23.3,25,27.2,26.7,26.1,22.8,25,
01119,42.128442,-72.50932,MA,78,86,77,77,65,63,57,25.6,30,25,25,18.3,17.2,13.9,
01120,45.08454,-72.11894,MA,84,79,91,79,72,83,63,28.9,26.1,32.8,26.1,22.2,28.3,17.2,
01121,42.70729,-72.85595,MA,82,86,61,77,72,77,80,27.8,30,16.1,25,22.2,25,26.7,severe_thunderstorm_warning
01122,41.04771,-71.38094,MA,71,73,76,79,81,69,84,21.7,22.8,24.4,26.1,27.2,20.6,28.9,
01123,42.72777,-72.16878,MA,72,81,83,76,82,73,81,22.2,27.2,28.3,24.4,27.8,22.8,27.2,
01124,41.28978,-73.48318,MA,54,87,87,93,70,85,72,12.2,30.6,30.6,33.9,21.1,29.4,22.2,
01125,42.44034,-72.99908,MA,86,72,84,70,71,79,69,30,22.2,28.9,21.1,21.7,26.1,20.6,
01126,44.92494,-69.16245,MA,80,69,67,72,72,74,68,26.7,20.6,19.4,22.2,22.2,23.3,20,
01127,45.29799,-67.17492,MA,79,58,71,59,69,77,66,26.1,14.4,21.7,15,20.6,25,18.9,
